epoch,train_loss,train_acc,lr,margin_scale
1,3.2283889980343545,0.18377602297200288,9.999999999999999e-05,0.2
2,1.552619643546828,0.6410624551328069,0.00019999999999999998,0.4
3,0.5861999608592343,0.9016511127063891,0.0003,0.6
4,0.20323032257330992,0.9820531227566404,0.0002998751699016874,0.8
5,0.08958620742787068,0.9928212491026561,0.00029950088737412895,1.0
6,0.048415435158513216,0.9956927494615937,0.00029887777537365414,1.0
7,0.023893098827593204,1.0,0.0002980068710086933,1.0
8,0.013262277529210558,1.0,0.0002968896238136131,1.0
9,0.009001219094238176,0.9992821249102656,0.00029552789333610964,1.0
10,0.006828484135463952,1.0,0.0002939239460421746,1.0
11,0.007776093327594762,0.9985642498205313,0.0002920804515437865,1.0
12,0.005885963719298064,1.0,0.000290000478155605,1.0
13,0.0033186740005938424,1.0,0.00028768748778806386,1.0
14,0.0030367721015238454,1.0,0.0002851453301853628,1.0
15,0.002639263546246733,1.0,0.00028237823651794814,1.0
16,0.0021952399215142845,1.0,0.00027939081234014705,1.0
17,0.0023329803948768674,1.0,0.0002761880299246772,1.0
18,0.001996833389813491,1.0,0.000272775219986789,1.0
19,0.0018644942183312287,1.0,0.00026915806281181686,1.0
20,0.0016732980929748326,1.0,0.0002653425788009043,1.0
21,0.0016591353796566893,1.0,0.0002613351184506405,1.0
22,0.0014251820565577748,1.0,0.0002571423517832855,1.0
23,0.001432635417249527,1.0,0.0002527712572451766,1.0
24,0.001369244231169205,1.0,0.00024822911009179276,1.0
25,0.0012587609262775953,1.0,0.00024352347027881003,1.0
26,0.0010783024523701393,1.0,0.0002386621698793015,1.0
27,0.001118268797940281,1.0,0.0002336533000480244,1.0
28,0.001153123352411875,1.0,0.0002285051975544918,1.0
29,0.000998630510239975,1.0,0.00022322643090724216,1.0
30,0.0009557755832137153,1.0,0.00021782578609240284,1.0
31,0.0009082373490220114,1.0,0.00021231225195028297,1.0
32,0.0008541819688309805,1.0,0.00020669500521433597,1.0
33,0.0009430230998655425,1.0,0.00020098339523739247,1.0
34,0.000944811580766177,1.0,0.00019518692843058512,1.0
35,0.0007150086765802664,1.0,0.0001893152524408653,1.0
36,0.0007944066837638595,1.0,0.00018337814009344714,1.0
37,0.0006863178314416477,1.0,0.00017738547312590424,1.0
38,0.0006700582154698895,1.0,0.00017134722574099276,1.0
39,0.000654576240142183,1.0,0.00016527344800557533,1.0
40,0.0006925294665306839,1.0,0.00015917424912327641,1.0
41,0.0006371356557074557,1.0,0.00015305978060871082,1.0
42,0.0006586235366415363,1.0,0.00014694021939128923,1.0
43,0.0006824159312442383,1.0,0.0001408257508767236,1.0
44,0.0005933647092474572,1.0,0.00013472655199442472,1.0
45,0.0006544580584497586,1.0,0.00012865277425900724,1.0
46,0.0005325566753624736,1.0,0.00012261452687409576,1.0
47,0.0005265476889704399,1.0,0.00011662185990655284,1.0
48,0.000560060474957752,1.0,0.00011068474755913471,1.0
49,0.000597691244986617,1.0,0.00010481307156941489,1.0
50,0.0005122855346120375,1.0,9.901660476260751e-05,1.0
51,0.0004656931007821153,1.0,9.330499478566403e-05,1.0
52,0.0005037537255282303,1.0,8.768774804971705e-05,1.0
53,0.00046037472313175033,1.0,8.217421390759716e-05,1.0
54,0.00045436804753789053,1.0,7.677356909275784e-05,1.0
55,0.0004586069520405104,1.0,7.149480244550821e-05,1.0
56,0.00043719104109753165,1.0,6.63466999519756e-05,1.0
57,0.0005094831312275495,1.0,6.133783012069853e-05,1.0
58,0.00045422615961600245,1.0,5.6476529721189974e-05,1.0
59,0.00048185182181745235,1.0,5.1770889908207245e-05,1.0
60,0.0004419388738577839,1.0,4.7228742754823374e-05,1.0
61,0.00042072680965333386,1.0,4.2857648216714456e-05,1.0
62,0.000421199880654697,1.0,3.8664881549359506e-05,1.0
63,0.00046807103909014564,1.0,3.465742119909569e-05,1.0
64,0.0004133124702408835,1.0,3.0841937188183096e-05,1.0
65,0.00039622189741339656,1.0,2.7224780013210962e-05,1.0
66,0.00039923071253868266,1.0,2.38119700753228e-05,1.0
67,0.0003874906082520608,1.0,2.0609187659852876e-05,1.0
68,0.00040726600041344216,1.0,1.7621763482051827e-05,1.0
69,0.0004244964071385675,1.0,1.4854669814637143e-05,1.0
70,0.00039240985317189146,1.0,1.2312512211936104e-05,1.0
71,0.000388688606112107,1.0,9.999521844394987e-06,1.0
72,0.0004086290770593084,1.0,7.919548456213515e-06,1.0
73,0.0003857838531637836,1.0,6.076053957825411e-06,1.0
74,0.0003926739458005397,1.0,4.47210666389034e-06,1.0
75,0.00038720272640729083,1.0,3.110376186386848e-06,1.0
76,0.0003802056630491028,1.0,1.9931289913066694e-06,1.0
77,0.00040550002552788204,1.0,1.1222246263458467e-06,1.0
78,0.00044449661057429057,1.0,4.991126258710176e-07,1.0
79,0.00045037757391705094,1.0,1.2483009831256717e-07,1.0
80,0.00042040623628854625,1.0,0.0,1.0
