epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr
1,2.00050068324163,0.42201834862385323,2.0137257196877956,0.3745583038869258,0.0003
2,0.5885691440184977,0.7964970809007507,1.3714805595023893,0.49823321554770317,0.0003
3,0.28343796400699744,0.8698915763135947,1.1586094646066323,0.5441696113074205,0.0003
4,0.156382655139214,0.9040867389491243,0.8935209215740433,0.7137809187279152,0.0003
5,0.08575243446618641,0.9566305254378649,0.7501529908011743,0.7526501766784452,0.0003
6,0.052267933210002275,0.9716430358632193,0.7008063221356894,0.7915194346289752,0.0003
7,0.035772500396570234,0.9824854045037531,0.6555011391429092,0.823321554770318,0.0003
8,0.024002997874996133,0.9908256880733946,0.5687898836582372,0.8586572438162544,0.0003
9,0.01801254962873121,0.9899916597164303,0.4989601369460143,0.8833922261484098,0.0003
10,0.013283702694780634,0.9916597164303587,0.47016291388774506,0.8975265017667845,0.0003
11,0.010068148303096547,0.9966638865721434,0.4450776184194922,0.901060070671378,0.0003
12,0.00861363508175434,0.9974979149291076,0.42413008939672275,0.9081272084805654,0.0003
13,0.006909342015082882,0.9983319432860718,0.41715196659623943,0.9151943462897526,0.0003
14,0.004944411445847146,0.9983319432860718,0.4205617771974301,0.9187279151943463,0.0003
15,0.0053022749540632946,0.9974979149291076,0.45495066120430777,0.9151943462897526,0.0003
16,0.0048072406520338435,0.9974979149291076,0.41166341325840766,0.9293286219081273,0.0003
17,0.0033529396563087956,0.9991659716430359,0.4216297468953756,0.9045936395759717,0.0003
18,0.0032244526444809253,0.9991659716430359,0.4156010504746184,0.9081272084805654,0.0003
19,0.0028327174474632026,0.9991659716430359,0.3961046610830529,0.9151943462897526,0.0003
20,0.002389089988111157,1.0,0.3911305868162283,0.9293286219081273,0.00015
21,0.0026541489824649564,1.0,0.37689993227749746,0.9257950530035336,0.00015
22,0.0020915305589926155,1.0,0.3786417913521137,0.9257950530035336,0.00015
23,0.0018933275834912802,1.0,0.3718472733935703,0.9187279151943463,0.00015
24,0.0015253176250680659,1.0,0.3778517060903273,0.9222614840989399,7.5e-05
