epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,216.601,1.22264,0.97126,1.4875,0.96717,0.96077,0.97226,0.506,1.73115,0.7195,1.97059,0.0011882,0.0011882,0.0011882
43,221.972,1.26982,0.97932,1.49011,1,0.93018,0.97971,0.56629,1.48168,0.66118,1.71306,0.0011684,0.0011684,0.0011684
44,227.469,1.20844,0.97465,1.45294,0.97453,0.94565,0.98274,0.53479,1.49697,0.68528,1.75628,0.0011486,0.0011486,0.0011486
45,232.752,1.22677,0.99494,1.47273,0.95141,0.93478,0.96655,0.56709,1.40979,0.68689,1.68352,0.0011288,0.0011288,0.0011288
46,238.103,1.18501,0.96482,1.439,0.93634,0.95924,0.98086,0.55734,1.46121,0.64392,1.71313,0.001109,0.001109,0.001109
47,243.225,1.18306,0.97842,1.42094,0.95469,0.92391,0.98373,0.50627,1.57899,0.63384,1.83242,0.0010892,0.0010892,0.0010892
48,248.325,1.23403,1.00541,1.47119,0.96721,0.96176,0.98564,0.52055,1.59764,0.67047,1.86188,0.0010694,0.0010694,0.0010694
49,253.315,1.17282,0.97802,1.43795,0.98888,0.96657,0.99037,0.54402,1.55547,0.57808,1.82419,0.0010496,0.0010496,0.0010496
50,258.438,1.14162,0.90947,1.37942,0.98629,0.97826,0.98095,0.50939,1.61114,0.62726,1.86369,0.0010298,0.0010298,0.0010298
51,263.654,1.20216,0.94346,1.46528,0.91566,0.94405,0.96127,0.56221,1.39533,0.67928,1.61834,0.00101,0.00101,0.00101
52,268.777,1.17559,0.96728,1.40804,0.91256,0.91304,0.93043,0.47102,1.60474,0.77599,1.81227,0.0009902,0.0009902,0.0009902
53,273.774,1.18384,0.95374,1.42401,0.94632,0.95802,0.9693,0.51003,1.63202,0.72178,1.8908,0.0009704,0.0009704,0.0009704
54,278.872,1.15281,0.91007,1.38917,0.98083,0.95652,0.98219,0.57302,1.42685,0.60817,1.6597,0.0009506,0.0009506,0.0009506
55,283.844,1.11043,0.88873,1.39024,0.97731,0.93636,0.97884,0.49363,1.69249,0.66193,1.90116,0.0009308,0.0009308,0.0009308
56,288.668,1.15269,0.91488,1.41591,0.98896,0.97399,0.97467,0.55315,1.50107,0.65084,1.75705,0.000911,0.000911,0.000911
57,293.644,1.11886,0.97945,1.41873,0.97738,0.93926,0.97617,0.56791,1.47251,0.64336,1.76514,0.0008912,0.0008912,0.0008912
58,298.458,1.16915,0.9861,1.4319,0.98862,0.94438,0.9707,0.60591,1.32436,0.65742,1.60197,0.0008714,0.0008714,0.0008714
59,303.355,1.11366,0.91933,1.40079,0.97742,0.94124,0.97179,0.59228,1.40687,0.59565,1.65374,0.0008516,0.0008516,0.0008516
60,308.228,1.16798,0.93707,1.42558,0.9603,0.96739,0.98867,0.58357,1.42749,0.63622,1.67943,0.0008318,0.0008318,0.0008318
61,313.072,1.05943,0.90646,1.32982,0.95343,0.97826,0.98883,0.55723,1.4638,0.59798,1.77823,0.000812,0.000812,0.000812
62,318.02,1.10514,0.89765,1.37592,1,0.95578,0.98427,0.59637,1.4363,0.60629,1.68883,0.0007922,0.0007922,0.0007922
63,322.828,1.12864,0.87407,1.39119,0.98882,0.96174,0.98375,0.57889,1.37414,0.6131,1.64071,0.0007724,0.0007724,0.0007724
64,327.788,1.0657,0.90183,1.36789,0.98857,0.9404,0.98003,0.61525,1.2727,0.62329,1.55659,0.0007526,0.0007526,0.0007526
65,332.809,1.04792,0.89488,1.34101,0.98425,0.92391,0.97304,0.58003,1.38532,0.64581,1.63798,0.0007328,0.0007328,0.0007328
66,337.658,1.0904,0.91357,1.36121,0.97723,0.93304,0.96589,0.5453,1.5004,0.71989,1.75629,0.000713,0.000713,0.000713
67,342.451,1.09529,0.84734,1.35464,0.98807,0.90038,0.96059,0.56191,1.40114,0.81508,1.65202,0.0006932,0.0006932,0.0006932
68,347.264,1.06255,0.87155,1.34434,0.99741,0.93478,0.9634,0.5576,1.42327,0.75053,1.67724,0.0006734,0.0006734,0.0006734
69,352.259,1.06693,0.90628,1.347,0.99063,0.91304,0.97943,0.59723,1.32194,0.75021,1.60905,0.0006536,0.0006536,0.0006536
70,357.121,1.05248,0.87592,1.35418,0.94018,0.95652,0.98084,0.59632,1.37323,0.71749,1.6545,0.0006338,0.0006338,0.0006338
71,361.875,1.06169,0.8765,1.33217,0.94684,0.96799,0.98073,0.59336,1.3431,0.67232,1.69162,0.000614,0.000614,0.000614
72,366.743,1.04432,0.8293,1.3411,0.96707,0.95759,0.96518,0.56108,1.48033,0.69629,1.76361,0.0005942,0.0005942,0.0005942
73,371.486,1.05489,0.87013,1.34099,0.95392,0.9,0.95169,0.56444,1.41092,0.7686,1.70791,0.0005744,0.0005744,0.0005744
74,376.58,0.99496,0.81877,1.29371,0.95115,0.93478,0.95999,0.5619,1.48969,0.71879,1.7857,0.0005546,0.0005546,0.0005546
75,381.555,0.95994,0.81773,1.27182,0.96563,0.93478,0.96801,0.60084,1.34084,0.6684,1.67582,0.0005348,0.0005348,0.0005348
76,386.514,0.97612,0.83421,1.30731,0.97179,0.96739,0.97166,0.58197,1.37985,0.65776,1.69939,0.000515,0.000515,0.000515
77,391.439,1.03106,0.84488,1.32121,0.97859,0.94565,0.97967,0.5988,1.30477,0.60901,1.6631,0.0004952,0.0004952,0.0004952
78,396.273,0.96551,0.91353,1.27212,0.95702,0.96817,0.98158,0.62674,1.3037,0.54426,1.71233,0.0004754,0.0004754,0.0004754
79,401.132,0.98692,0.84419,1.2877,0.98888,0.96655,0.97226,0.57689,1.49681,0.58988,1.85951,0.0004556,0.0004556,0.0004556
