epoch,train_loss,train_acc,lr,margin_scale
1,4.800365929613816,0.09735146743020759,9.999999999999999e-05,0.2
2,3.2199235740694387,0.3536148890479599,0.00019999999999999998,0.4
3,1.9722791117434,0.5934144595561919,0.0003,0.6
4,1.2373835765726666,0.7315676449534717,0.0002998751699016874,0.8
5,0.91810572815095,0.8052970651395849,0.00029950088737412895,1.0
6,0.39742251434920084,0.9112383679312813,0.00029887777537365414,1.0
7,0.2398330399509234,0.9377236936292055,0.0002980068710086933,1.0
8,0.17180336193690235,0.9577666428060129,0.0002968896238136131,1.0
9,0.11622872411052755,0.9735146743020758,0.00029552789333610964,1.0
10,0.11304935801216937,0.9706513958482462,0.0002939239460421746,1.0
11,0.062011265368570836,0.9871152469577666,0.0002920804515437865,1.0
12,0.06016886897842449,0.9871152469577666,0.000290000478155605,1.0
13,0.027293242082138444,0.9935576234788833,0.00028768748778806386,1.0
14,0.013266771323958901,0.9971367215461704,0.0002851453301853628,1.0
15,0.08400894976677686,0.984251968503937,0.00028237823651794814,1.0
16,0.13384334327027725,0.9699355762347889,0.00027939081234014705,1.0
17,0.12053266075375085,0.968503937007874,0.0002761880299246772,1.0
18,0.0692494718955247,0.9770937723693629,0.000272775219986789,1.0
19,0.0743542257083064,0.9799570508231925,0.00026915806281181686,1.0
20,0.0757419121756339,0.9828203292770222,0.0002653425788009043,1.0
21,0.019810692614521737,0.9949892627057981,0.0002613351184506405,1.0
22,0.07958123915473435,0.9799570508231925,0.0002571423517832855,1.0
23,0.09498163343739877,0.9785254115962777,0.0002527712572451766,1.0
24,0.05281240103996986,0.9856836077308518,0.00024822911009179276,1.0
25,0.08876144031893379,0.9813886900501074,0.00024352347027881003,1.0
26,0.09414063350870171,0.9799570508231925,0.0002386621698793015,1.0
27,0.12289833532927628,0.9735146743020758,0.0002336533000480244,1.0
28,0.07234375598809083,0.9835361488904796,0.0002285051975544918,1.0
29,0.05394842977088569,0.9906943450250537,0.00022322643090724216,1.0
30,0.046879136042886745,0.9871152469577666,0.00021782578609240284,1.0
31,0.03221766389746408,0.9899785254115963,0.00021231225195028297,1.0
32,0.013468245059433783,0.9964209019327129,0.00020669500521433597,1.0
33,0.0037152843407182584,1.0,0.00020098339523739247,1.0
34,0.004399824394519809,0.9992841803865425,0.00019518692843058512,1.0
35,0.012738516072533644,0.9985683607730852,0.0001893152524408653,1.0
36,0.005922637200522995,0.9992841803865425,0.00018337814009344714,1.0
37,0.005855359651052321,0.9978525411596277,0.00017738547312590424,1.0
38,0.0056471914581623815,0.9985683607730852,0.00017134722574099276,1.0
39,0.0024927381313430597,1.0,0.00016527344800557533,1.0
40,0.0033513108903289496,0.9992841803865425,0.00015917424912327641,1.0
41,0.006921798993787364,0.9985683607730852,0.00015305978060871082,1.0
42,0.005343279215190879,0.9992841803865425,0.00014694021939128923,1.0
43,0.005821634434315569,0.9985683607730852,0.0001408257508767236,1.0
44,0.0019046944778068585,1.0,0.00013472655199442472,1.0
45,0.0025219390676363518,0.9992841803865425,0.00012865277425900724,1.0
46,0.0011981825711593597,1.0,0.00012261452687409576,1.0
47,0.005186389426136777,0.9992841803865425,0.00011662185990655284,1.0
48,0.0035611670679274784,0.9985683607730852,0.00011068474755913471,1.0
49,0.001366726391126769,1.0,0.00010481307156941489,1.0
50,0.002840543809587185,0.9985683607730852,9.901660476260751e-05,1.0
51,0.0008629751613581288,1.0,9.330499478566403e-05,1.0
52,0.0009242367410132996,1.0,8.768774804971705e-05,1.0
53,0.0011027428046043537,1.0,8.217421390759716e-05,1.0
54,0.0017890181876092338,0.9992841803865425,7.677356909275784e-05,1.0
55,0.0015539810126954017,0.9992841803865425,7.149480244550821e-05,1.0
56,0.001755830091500952,1.0,6.63466999519756e-05,1.0
57,0.000668979438059112,1.0,6.133783012069853e-05,1.0
58,0.0005441615496743431,1.0,5.6476529721189974e-05,1.0
59,0.0024511059512815564,0.9992841803865425,5.1770889908207245e-05,1.0
60,0.000677977210282746,1.0,4.7228742754823374e-05,1.0
61,0.000690666838941073,1.0,4.2857648216714456e-05,1.0
62,0.0017752778131725452,0.9992841803865425,3.8664881549359506e-05,1.0
63,0.00051569646675541,1.0,3.465742119909569e-05,1.0
64,0.0003709187226360977,1.0,3.0841937188183096e-05,1.0
65,0.0004603016176397673,1.0,2.7224780013210962e-05,1.0
66,0.0005860215522290215,1.0,2.38119700753228e-05,1.0
67,0.0007913278004303895,1.0,2.0609187659852876e-05,1.0
68,0.0003802370031467761,1.0,1.7621763482051827e-05,1.0
69,0.0005236095434262063,1.0,1.4854669814637143e-05,1.0
70,0.0004977721092357842,1.0,1.2312512211936104e-05,1.0
71,0.00042486713491943543,1.0,9.999521844394987e-06,1.0
72,0.0004986019106081813,1.0,7.919548456213515e-06,1.0
73,0.0005719863250318304,1.0,6.076053957825411e-06,1.0
74,0.0004223210429362739,1.0,4.47210666389034e-06,1.0
75,0.0009918929142350799,1.0,3.110376186386848e-06,1.0
76,0.0004743453594885964,1.0,1.9931289913066694e-06,1.0
77,0.0005764146760001422,1.0,1.1222246263458467e-06,1.0
78,0.0007375460244720548,1.0,4.991126258710176e-07,1.0
79,0.0004912972253258624,1.0,1.2483009831256717e-07,1.0
80,0.00038561082791164385,1.0,0.0,1.0
