epoch,train_loss,train_acc,lr,margin_scale
1,3.274889715786638,0.16020114942528735,9.999999999999999e-05,0.2
2,1.5630509140847744,0.6314655172413793,0.00019999999999999998,0.4
3,0.589531090067721,0.9022988505747126,0.0003,0.6
4,0.1777911730881395,0.9849137931034483,0.0002998751699016874,0.8
5,0.078860091409464,0.992816091954023,0.00029950088737412895,1.0
6,0.03534328303802973,0.9985632183908046,0.00029887777537365414,1.0
7,0.02556003570214085,0.9985632183908046,0.0002980068710086933,1.0
8,0.016316047773278993,1.0,0.0002968896238136131,1.0
9,0.018274462856780523,0.9985632183908046,0.00029552789333610964,1.0
10,0.008015239803955472,1.0,0.0002939239460421746,1.0
11,0.005059222551597946,1.0,0.0002920804515437865,1.0
12,0.004063754759985825,1.0,0.000290000478155605,1.0
13,0.0033085944837537304,1.0,0.00028768748778806386,1.0
14,0.0027939303853045934,1.0,0.0002851453301853628,1.0
15,0.00300475937881689,1.0,0.00028237823651794814,1.0
16,0.0022680964106800913,1.0,0.00027939081234014705,1.0
17,0.002250617177321993,1.0,0.0002761880299246772,1.0
18,0.0020260913618679703,1.0,0.000272775219986789,1.0
19,0.0017377807833682533,1.0,0.00026915806281181686,1.0
20,0.0016528153042683657,1.0,0.0002653425788009043,1.0
21,0.0016133545459001914,1.0,0.0002613351184506405,1.0
22,0.0015683187835517972,1.0,0.0002571423517832855,1.0
23,0.001391777875779689,1.0,0.0002527712572451766,1.0
24,0.0013086711024415903,1.0,0.00024822911009179276,1.0
25,0.001401473821579725,1.0,0.00024352347027881003,1.0
26,0.0010412263459172741,1.0,0.0002386621698793015,1.0
27,0.0009993353280527838,1.0,0.0002336533000480244,1.0
28,0.0010809823014270301,1.0,0.0002285051975544918,1.0
29,0.0009902125631255664,1.0,0.00022322643090724216,1.0
30,0.001003759088872493,1.0,0.00021782578609240284,1.0
31,0.000822406647534206,1.0,0.00021231225195028297,1.0
32,0.0008800877579327287,1.0,0.00020669500521433597,1.0
33,0.0007641237528844811,1.0,0.00020098339523739247,1.0
34,0.0007482600109330539,1.0,0.00019518692843058512,1.0
35,0.0006618176040978268,1.0,0.0001893152524408653,1.0
36,0.0006731968672796227,1.0,0.00018337814009344714,1.0
37,0.0006828950396899519,1.0,0.00017738547312590424,1.0
38,0.0006795778185471721,1.0,0.00017134722574099276,1.0
39,0.0007104931891649619,1.0,0.00016527344800557533,1.0
40,0.0006659382890010702,1.0,0.00015917424912327641,1.0
41,0.0006132295419429911,1.0,0.00015305978060871082,1.0
42,0.0006989290316899618,1.0,0.00014694021939128923,1.0
43,0.0005472642423092634,1.0,0.0001408257508767236,1.0
44,0.0005847935875256857,1.0,0.00013472655199442472,1.0
45,0.0005448716639102191,1.0,0.00012865277425900724,1.0
46,0.00047102287925522904,1.0,0.00012261452687409576,1.0
47,0.0005149495327609709,1.0,0.00011662185990655284,1.0
48,0.00047456884178622013,1.0,0.00011068474755913471,1.0
49,0.0005001477126417489,1.0,0.00010481307156941489,1.0
50,0.0005206398066432997,1.0,9.901660476260751e-05,1.0
51,0.0005601909996449262,1.0,9.330499478566403e-05,1.0
52,0.0005229813442833122,1.0,8.768774804971705e-05,1.0
53,0.00046874188828742366,1.0,8.217421390759716e-05,1.0
54,0.00043784184702511494,1.0,7.677356909275784e-05,1.0
55,0.00041848018594171807,1.0,7.149480244550821e-05,1.0
56,0.0004352454481453731,1.0,6.63466999519756e-05,1.0
57,0.0004943991186975062,1.0,6.133783012069853e-05,1.0
58,0.0006023138418964956,1.0,5.6476529721189974e-05,1.0
59,0.00046943676197665863,1.0,5.1770889908207245e-05,1.0
60,0.00041985922846300846,1.0,4.7228742754823374e-05,1.0
61,0.0004401434769575623,1.0,4.2857648216714456e-05,1.0
62,0.00043031196484620543,1.0,3.8664881549359506e-05,1.0
63,0.0005001457429480279,1.0,3.465742119909569e-05,1.0
64,0.00042512165061358746,1.0,3.0841937188183096e-05,1.0
65,0.0003927322639816109,1.0,2.7224780013210962e-05,1.0
66,0.000390782010281223,1.0,2.38119700753228e-05,1.0
67,0.0003986895598214248,1.0,2.0609187659852876e-05,1.0
68,0.0003757344922800174,1.0,1.7621763482051827e-05,1.0
69,0.00041769753242361135,1.0,1.4854669814637143e-05,1.0
70,0.0004174472100433262,1.0,1.2312512211936104e-05,1.0
71,0.000412159010596659,1.0,9.999521844394987e-06,1.0
72,0.0004093592194305069,1.0,7.919548456213515e-06,1.0
73,0.0009731686320798151,1.0,6.076053957825411e-06,1.0
74,0.0003797391365314352,1.0,4.47210666389034e-06,1.0
75,0.00037621192891022255,1.0,3.110376186386848e-06,1.0
76,0.000447832133578158,1.0,1.9931289913066694e-06,1.0
77,0.0003962614412965446,1.0,1.1222246263458467e-06,1.0
78,0.00040775554618616215,1.0,4.991126258710176e-07,1.0
79,0.0003901228479955388,1.0,1.2483009831256717e-07,1.0
80,0.0004279678580404698,1.0,0.0,1.0
