epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr
1,2.347957649896311,0.3546511627906977,2.7146028741200765,0.25666666666666665,0.0003
2,0.8666079099788222,0.7332848837209303,1.9709289646148682,0.43333333333333335,0.0003
3,0.434737833433373,0.845203488372093,1.6008827431996664,0.48,0.0003
4,0.1986598343003628,0.9040697674418605,1.3632183043162027,0.5533333333333333,0.0003
5,0.1343988588209762,0.934593023255814,1.2197178411483764,0.64,0.0003
6,0.0868825335488763,0.9593023255813954,1.0966317810614903,0.7033333333333334,0.0003
7,0.06299902253979167,0.9607558139534884,1.090386748512586,0.7366666666666667,0.0003
8,0.03716586469564327,0.9789244186046512,0.9784390770892302,0.79,0.0003
9,0.03264047417703063,0.9832848837209303,0.9527493298053742,0.7933333333333333,0.0003
10,0.02918529224603675,0.9847383720930233,1.043164158463478,0.8,0.0003
11,0.024521661954823623,0.9927325581395349,0.9459033198157947,0.79,0.0003
12,0.018388606380497993,0.9912790697674418,0.9703039454420408,0.8033333333333333,0.0003
13,0.014165271468850415,0.9927325581395349,0.9168146888415019,0.8066666666666666,0.0003
14,0.020544122558000477,0.9927325581395349,0.9392175507545472,0.8133333333333334,0.0003
15,0.014603144261812749,0.9956395348837209,0.9332814346750578,0.8,0.0003
16,0.011347978040142807,0.9956395348837209,0.8751149674504995,0.8433333333333334,0.0003
17,0.008857716367644973,0.997093023255814,0.8841053686042627,0.8366666666666667,0.0003
18,0.01067229298614832,0.997093023255814,0.824759794101119,0.85,0.0003
19,0.006240560941203216,0.997093023255814,0.8549541807174683,0.84,0.0003
20,0.00418761339807493,1.0,0.8556666824966669,0.86,0.0003
21,0.005355826592570994,0.9963662790697675,0.8364530003567536,0.84,0.0003
22,0.0028928391835760583,1.0,0.8201554418603579,0.8533333333333334,0.0003
23,0.006694187147564493,0.9963662790697675,0.8044481234749158,0.8566666666666667,0.0003
24,0.0036530364548440935,0.998546511627907,0.7984870447466771,0.8533333333333334,0.00015
25,0.002879299082641685,0.9978197674418605,0.8123137039194505,0.8566666666666667,0.00015
26,0.001977581019123453,1.0,0.7994532255580028,0.86,0.00015
27,0.0021119579025760814,0.998546511627907,0.7968721936643124,0.8633333333333333,0.00015
28,0.0017880173183457797,1.0,0.7929224715878566,0.8533333333333334,0.00015
29,0.0026069833439514908,0.998546511627907,0.7911408493419488,0.8666666666666667,0.00015
30,0.001815807530494017,1.0,0.7973456826309363,0.8633333333333333,0.00015
31,0.0024406935093751136,0.998546511627907,0.7856971114625534,0.86,0.00015
32,0.0028305526248850795,0.9992732558139535,0.7892933640629053,0.8566666666666667,0.00015
33,0.0015893716400294283,0.998546511627907,0.7850153401494027,0.8566666666666667,7.5e-05
34,0.0014961216568968496,1.0,0.7864477777977784,0.86,7.5e-05
35,0.0012550787644211722,1.0,0.7830167473355929,0.8533333333333334,7.5e-05
36,0.0012267809510122724,1.0,0.7782905334234238,0.8566666666666667,7.5e-05
37,0.0011493230237203196,1.0,0.7804185769955317,0.86,3.75e-05
38,0.0011506946818350793,1.0,0.7798380960772435,0.8666666666666667,3.75e-05
39,0.001224308364705161,1.0,0.7809934353580078,0.8666666666666667,3.75e-05
