epoch,train_loss,train_acc,lr,margin_scale
1,5.235353091938925,0.03230437903804738,9.999999999999999e-05,0.2
2,4.509670552639164,0.18880114860014358,0.00019999999999999998,0.4
3,3.9060457238856614,0.31442928930366115,0.0003,0.6
4,3.766692679474359,0.3869346733668342,0.0002998751699016874,0.8
5,3.5235926442581036,0.4680545585068198,0.00029950088737412895,1.0
6,2.509068654410204,0.5987078248384781,0.00029887777537365414,1.0
7,1.9558089170538087,0.6719310839913855,0.0002980068710086933,1.0
8,1.305789439693596,0.7537688442211056,0.0002968896238136131,1.0
9,1.142763972795874,0.7839195979899497,0.00029552789333610964,1.0
10,0.939937111292481,0.8169418521177315,0.0002939239460421746,1.0
11,0.7696688509488054,0.864321608040201,0.0002920804515437865,1.0
12,0.6732629642521659,0.8607322325915291,0.000290000478155605,1.0
13,0.6396197999285351,0.873653984206748,0.00028768748778806386,1.0
14,0.6121778534798852,0.8793969849246231,0.0002851453301853628,1.0
15,0.48757075142364065,0.8944723618090452,0.00028237823651794814,1.0
16,0.4387188654577484,0.9066762383345298,0.00027939081234014705,1.0
17,0.3757536468194358,0.9203158650394831,0.0002761880299246772,1.0
18,0.4854065993719193,0.9102656137832017,0.000272775219986789,1.0
19,0.32785312047299087,0.9267767408470926,0.00026915806281181686,1.0
20,0.33464570483627376,0.9375448671931084,0.0002653425788009043,1.0
21,0.367660405852398,0.927494615936827,0.0002613351184506405,1.0
22,0.3674423954150742,0.9267767408470926,0.0002571423517832855,1.0
23,0.3052859734008403,0.9396984924623115,0.0002527712572451766,1.0
24,0.3024950432674712,0.9361091170136396,0.00024822911009179276,1.0
25,0.26743634739103117,0.9483129935391242,0.00024352347027881003,1.0
26,0.23058600744068067,0.9468772433596554,0.0002386621698793015,1.0
27,0.24607667057893298,0.949748743718593,0.0002336533000480244,1.0
28,0.2251612314177518,0.9576453697056713,0.0002285051975544918,1.0
29,0.16967229318871227,0.9669777458722182,0.00022322643090724216,1.0
30,0.24034169051269363,0.9547738693467337,0.00021782578609240284,1.0
31,0.2271422206585303,0.9468772433596554,0.00021231225195028297,1.0
32,0.1975423382262232,0.9540559942569993,0.00020669500521433597,1.0
33,0.22838677499076915,0.9526202440775305,0.00020098339523739247,1.0
34,0.16514915391021895,0.9576453697056713,0.00019518692843058512,1.0
35,0.1280621312724457,0.9734386216798278,0.0001893152524408653,1.0
36,0.1884707626000806,0.9662598707824839,0.00018337814009344714,1.0
37,0.14792148357662402,0.9698492462311558,0.00017738547312590424,1.0
38,0.14223128298066198,0.9734386216798278,0.00017134722574099276,1.0
39,0.13463168220704172,0.9727207465900933,0.00016527344800557533,1.0
40,0.14609818653940984,0.9741564967695621,0.00015917424912327641,1.0
41,0.11735860947773599,0.9748743718592965,0.00015305978060871082,1.0
42,0.14984070832593058,0.9712849964106246,0.00014694021939128923,1.0
43,0.08302628977741706,0.9791816223977028,0.0001408257508767236,1.0
44,0.0645503566897229,0.9849246231155779,0.00013472655199442472,1.0
45,0.09671554960743695,0.9791816223977028,0.00012865277425900724,1.0
46,0.18373550717202092,0.9691313711414213,0.00012261452687409576,1.0
47,0.10740603128821193,0.9849246231155779,0.00011662185990655284,1.0
48,0.06958710658046426,0.9913854989231874,0.00011068474755913471,1.0
49,0.072324630732154,0.9849246231155779,0.00010481307156941489,1.0
50,0.07960498670473085,0.9834888729361091,9.901660476260751e-05,1.0
51,0.058383847757296777,0.9877961234745154,9.330499478566403e-05,1.0
52,0.08721478923330216,0.9842067480258435,8.768774804971705e-05,1.0
53,0.1065506664762803,0.9856424982053122,8.217421390759716e-05,1.0
54,0.0656851961525466,0.9856424982053122,7.677356909275784e-05,1.0
55,0.020413623597240242,0.9949748743718593,7.149480244550821e-05,1.0
56,0.04658208776476652,0.9935391241923905,6.63466999519756e-05,1.0
57,0.07664180651095837,0.9870782483847811,6.133783012069853e-05,1.0
58,0.03327952376924514,0.9935391241923905,5.6476529721189974e-05,1.0
59,0.05928661960761457,0.9849246231155779,5.1770889908207245e-05,1.0
60,0.05471340651514927,0.9892318736539842,4.7228742754823374e-05,1.0
61,0.04232092874440714,0.9899497487437185,4.2857648216714456e-05,1.0
62,0.04031988480499406,0.9928212491026561,3.8664881549359506e-05,1.0
63,0.049177057388025,0.9899497487437185,3.465742119909569e-05,1.0
64,0.051401764503847314,0.9913854989231874,3.0841937188183096e-05,1.0
65,0.02642713854462443,0.9949748743718593,2.7224780013210962e-05,1.0
66,0.04360432844253508,0.9921033740129217,2.38119700753228e-05,1.0
67,0.0359888966028142,0.9935391241923905,2.0609187659852876e-05,1.0
68,0.05026226739319909,0.9913854989231874,1.7621763482051827e-05,1.0
69,0.03145302621442463,0.9921033740129217,1.4854669814637143e-05,1.0
70,0.030385001965016874,0.994256999282125,1.2312512211936104e-05,1.0
71,0.01831754324696985,0.9956927494615937,9.999521844394987e-06,1.0
72,0.03349919870297899,0.9899497487437185,7.919548456213515e-06,1.0
73,0.028400072737677827,0.9928212491026561,6.076053957825411e-06,1.0
74,0.03703794322776884,0.9935391241923905,4.47210666389034e-06,1.0
75,0.031173676506422957,0.9949748743718593,3.110376186386848e-06,1.0
76,0.03170566912941041,0.990667623833453,1.9931289913066694e-06,1.0
77,0.010122560807059158,0.9971284996410624,1.1222246263458467e-06,1.0
78,0.025012776479245366,0.9921033740129217,4.991126258710176e-07,1.0
79,0.025607450482116614,0.9964106245513281,1.2483009831256717e-07,1.0
80,0.03248102711043966,0.9949748743718593,0.0,1.0
