epoch,train_loss,train_acc,lr,margin_scale
1,3.40356988236415,0.1327116212338594,9.999999999999999e-05,0.2
2,2.033529686448906,0.4899569583931133,0.00019999999999999998,0.4
3,1.1250549486412038,0.7259684361549498,0.0003,0.6
4,0.6507800815779304,0.8550932568149211,0.0002998751699016874,0.8
5,0.419303933423082,0.9096126255380201,0.00029950088737412895,1.0
6,0.294763222999518,0.9332855093256814,0.00029887777537365414,1.0
7,0.21116811173889183,0.9598278335724534,0.0002980068710086933,1.0
8,0.15615045906738023,0.9705882352941176,0.0002968896238136131,1.0
9,0.10276002192086776,0.9835007173601148,0.00029552789333610964,1.0
10,0.1069510619729287,0.9835007173601148,0.0002939239460421746,1.0
11,0.10222751535795939,0.9813486370157819,0.0002920804515437865,1.0
12,0.10587518947623895,0.9784791965566715,0.000290000478155605,1.0
13,0.08267530424779594,0.9827833572453372,0.00028768748778806386,1.0
14,0.07850807325826314,0.9799139167862266,0.0002851453301853628,1.0
15,0.07290604180379782,0.9842180774748924,0.00028237823651794814,1.0
16,0.10679456608709338,0.975609756097561,0.00027939081234014705,1.0
17,0.06173441213271026,0.9885222381635581,0.0002761880299246772,1.0
18,0.045951166317144805,0.9913916786226685,0.000272775219986789,1.0
19,0.04465259393540824,0.9935437589670014,0.00026915806281181686,1.0
20,0.031300775630605356,0.9956958393113343,0.0002653425788009043,1.0
21,0.04325616413158187,0.9913916786226685,0.0002613351184506405,1.0
22,0.06540173009957269,0.9863701578192252,0.0002571423517832855,1.0
23,0.03568355756754341,0.9956958393113343,0.0002527712572451766,1.0
24,0.05065265755533873,0.9885222381635581,0.00024822911009179276,1.0
25,0.05629935813600056,0.9863701578192252,0.00024352347027881003,1.0
26,0.039226037697329415,0.9921090387374462,0.0002386621698793015,1.0
27,0.032264853828991504,0.9935437589670014,0.0002336533000480244,1.0
28,0.025847102666388625,0.9949784791965567,0.0002285051975544918,1.0
29,0.03249360847592867,0.9928263988522238,0.00022322643090724216,1.0
30,0.05039583147641063,0.9849354375896701,0.00021782578609240284,1.0
31,0.044756066572546445,0.9878048780487805,0.00021231225195028297,1.0
32,0.042130373418331146,0.9892395982783357,0.00020669500521433597,1.0
33,0.03594224285561501,0.990674318507891,0.00020098339523739247,1.0
34,0.019866951058486442,0.9978479196556671,0.00019518692843058512,1.0
35,0.027194639793470223,0.9935437589670014,0.0001893152524408653,1.0
36,0.017026011371073797,0.9978479196556671,0.00018337814009344714,1.0
37,0.011393158898356142,0.9992826398852224,0.00017738547312590424,1.0
38,0.014884359268251128,0.996413199426112,0.00017134722574099276,1.0
39,0.014223566623551603,0.996413199426112,0.00016527344800557533,1.0
40,0.011751752239859086,0.9978479196556671,0.00015917424912327641,1.0
41,0.02357056503915034,0.9956958393113343,0.00015305978060871082,1.0
42,0.012779438687779726,0.9978479196556671,0.00014694021939128923,1.0
43,0.01725895359705989,0.9949784791965567,0.0001408257508767236,1.0
44,0.01575127889641388,0.9956958393113343,0.00013472655199442472,1.0
45,0.015151073619017814,0.9985652797704447,0.00012865277425900724,1.0
46,0.011394592918491677,0.9992826398852224,0.00012261452687409576,1.0
47,0.006949998554606605,0.9992826398852224,0.00011662185990655284,1.0
48,0.010720507744191966,0.9971305595408895,0.00011068474755913471,1.0
49,0.008825756809867951,0.9992826398852224,0.00010481307156941489,1.0
50,0.006864680962067851,0.9992826398852224,9.901660476260751e-05,1.0
51,0.00950743503841188,0.9985652797704447,9.330499478566403e-05,1.0
52,0.006484578467151912,0.9985652797704447,8.768774804971705e-05,1.0
53,0.007220128771596437,0.9985652797704447,8.217421390759716e-05,1.0
54,0.010282190575383316,0.9971305595408895,7.677356909275784e-05,1.0
55,0.0048773828332701235,0.9985652797704447,7.149480244550821e-05,1.0
56,0.010244251495104289,0.9971305595408895,6.63466999519756e-05,1.0
57,0.0049991777842835,0.9992826398852224,6.133783012069853e-05,1.0
58,0.005163570564010393,0.9992826398852224,5.6476529721189974e-05,1.0
59,0.006764071484442421,0.9985652797704447,5.1770889908207245e-05,1.0
60,0.009132927510713013,0.9971305595408895,4.7228742754823374e-05,1.0
61,0.004027540235308506,1.0,4.2857648216714456e-05,1.0
62,0.006187603925354779,0.9992826398852224,3.8664881549359506e-05,1.0
63,0.004024713418421094,0.9992826398852224,3.465742119909569e-05,1.0
64,0.0037808204463908885,0.9992826398852224,3.0841937188183096e-05,1.0
65,0.002664426563794015,1.0,2.7224780013210962e-05,1.0
66,0.004363450891147214,0.9985652797704447,2.38119700753228e-05,1.0
67,0.0035637499099140358,1.0,2.0609187659852876e-05,1.0
68,0.0026327941985600433,1.0,1.7621763482051827e-05,1.0
69,0.002851687168630329,1.0,1.4854669814637143e-05,1.0
70,0.002797480378887206,1.0,1.2312512211936104e-05,1.0
71,0.003657013562526634,0.9992826398852224,9.999521844394987e-06,1.0
72,0.0025310293187412675,1.0,7.919548456213515e-06,1.0
73,0.002572921632272639,1.0,6.076053957825411e-06,1.0
74,0.003558802553198676,0.9985652797704447,4.47210666389034e-06,1.0
75,0.0025488096296017618,1.0,3.110376186386848e-06,1.0
76,0.002215037642813781,1.0,1.9931289913066694e-06,1.0
77,0.007162138152937037,0.9978479196556671,1.1222246263458467e-06,1.0
78,0.002836989193594877,0.9992826398852224,4.991126258710176e-07,1.0
79,0.006810954259174049,0.9978479196556671,1.2483009831256717e-07,1.0
80,0.004831370868863086,0.9992826398852224,0.0,1.0
