epoch,train_loss,train_acc,lr,margin_scale
1,6.119272477096981,0.03689236111111111,9.999999999999999e-05,0.2
2,5.058173957798216,0.19444444444444445,0.00019999999999999998,0.4
3,4.694747676452001,0.2912326388888889,0.0003,0.6
4,4.718861864672767,0.3524305555555556,0.0002998751699016874,0.8
5,4.505950056844288,0.4205729166666667,0.00029950088737412895,1.0
6,3.6441615935828953,0.5065104166666666,0.00029887777537365414,1.0
7,2.9998079952266483,0.5681423611111112,0.0002980068710086933,1.0
8,2.283264900247256,0.6540798611111112,0.0002968896238136131,1.0
9,1.8314394743906126,0.7074652777777778,0.00029552789333610964,1.0
10,1.5266969030102093,0.7526041666666666,0.0002939239460421746,1.0
11,1.3631975447965994,0.7725694444444444,0.0002920804515437865,1.0
12,1.1950349013010662,0.7960069444444444,0.000290000478155605,1.0
13,0.9800016259153684,0.8268229166666666,0.00028768748778806386,1.0
14,0.8657927937391732,0.8342013888888888,0.0002851453301853628,1.0
15,0.8080002708981434,0.8524305555555556,0.00028237823651794814,1.0
16,0.72371814886315,0.8689236111111112,0.00027939081234014705,1.0
17,0.6428467889005939,0.8875868055555556,0.0002761880299246772,1.0
18,0.51562201573203,0.8975694444444444,0.000272775219986789,1.0
19,0.6018273409249054,0.8893229166666666,0.00026915806281181686,1.0
20,0.4304215490960309,0.9223090277777778,0.0002653425788009043,1.0
21,0.4328754633509864,0.9144965277777778,0.0002613351184506405,1.0
22,0.4235814508412861,0.9249131944444444,0.0002571423517832855,1.0
23,0.4253323606034327,0.9223090277777778,0.0002527712572451766,1.0
24,0.3245535724175473,0.9388020833333334,0.00024822911009179276,1.0
25,0.3799655355978757,0.9266493055555556,0.00024352347027881003,1.0
26,0.30661912872326663,0.9422743055555556,0.0002386621698793015,1.0
27,0.3164830084165765,0.9427083333333334,0.0002336533000480244,1.0
28,0.27160681218891924,0.9479166666666666,0.0002285051975544918,1.0
29,0.33431855135778377,0.9388020833333334,0.00022322643090724216,1.0
30,0.3241419245281981,0.9405381944444444,0.00021782578609240284,1.0
31,0.23802192128237543,0.9539930555555556,0.00021231225195028297,1.0
32,0.2711889755187763,0.9505208333333334,0.00020669500521433597,1.0
33,0.19865795152468813,0.9552951388888888,0.00020098339523739247,1.0
34,0.2093336835225475,0.9613715277777778,0.00019518692843058512,1.0
35,0.298503032775544,0.9509548611111112,0.0001893152524408653,1.0
36,0.1943854710423491,0.9631076388888888,0.00018337814009344714,1.0
37,0.19049036881915526,0.9618055555555556,0.00017738547312590424,1.0
38,0.14326512090337928,0.9717881944444444,0.00017134722574099276,1.0
39,0.18883686826059906,0.9657118055555556,0.00016527344800557533,1.0
40,0.1867899618551342,0.9704861111111112,0.00015917424912327641,1.0
41,0.2006570291042509,0.9618055555555556,0.00015305978060871082,1.0
42,0.1747050215199124,0.96875,0.00014694021939128923,1.0
43,0.13879939923936035,0.9778645833333334,0.0001408257508767236,1.0
44,0.15396642813316752,0.9743923611111112,0.00013472655199442472,1.0
45,0.1328838103703068,0.9722222222222222,0.00012865277425900724,1.0
46,0.12207977770514036,0.9782986111111112,0.00012261452687409576,1.0
47,0.11229592557517915,0.98046875,0.00011662185990655284,1.0
48,0.11452984881503249,0.9782986111111112,0.00011068474755913471,1.0
49,0.0888573972834921,0.9848090277777778,0.00010481307156941489,1.0
50,0.10426955459196405,0.9809027777777778,9.901660476260751e-05,1.0
51,0.10218617809328458,0.98046875,9.330499478566403e-05,1.0
52,0.06107427723004043,0.9861111111111112,8.768774804971705e-05,1.0
53,0.07162549627941593,0.9874131944444444,8.217421390759716e-05,1.0
54,0.10599054761243881,0.9822048611111112,7.677356909275784e-05,1.0
55,0.08175134918969383,0.9852430555555556,7.149480244550821e-05,1.0
56,0.08118354363614344,0.9848090277777778,6.63466999519756e-05,1.0
57,0.05736764479903892,0.9878472222222222,6.133783012069853e-05,1.0
58,0.07045779520881802,0.9874131944444444,5.6476529721189974e-05,1.0
59,0.07071401965691217,0.9891493055555556,5.1770889908207245e-05,1.0
60,0.07060413287642102,0.9904513888888888,4.7228742754823374e-05,1.0
61,0.05618346164434721,0.9891493055555556,4.2857648216714456e-05,1.0
62,0.07913964791562951,0.9878472222222222,3.8664881549359506e-05,1.0
63,0.04574131446942273,0.9921875,3.465742119909569e-05,1.0
64,0.03473164092388793,0.9921875,3.0841937188183096e-05,1.0
65,0.058255075565183584,0.9895833333333334,2.7224780013210962e-05,1.0
66,0.05978688297788418,0.9908854166666666,2.38119700753228e-05,1.0
67,0.04010239865480495,0.9930555555555556,2.0609187659852876e-05,1.0
68,0.04116310377139598,0.9930555555555556,1.7621763482051827e-05,1.0
69,0.04721057402922371,0.9904513888888888,1.4854669814637143e-05,1.0
70,0.053479061327379895,0.9908854166666666,1.2312512211936104e-05,1.0
71,0.06138701648119928,0.9900173611111112,9.999521844394987e-06,1.0
72,0.04336880869434228,0.9939236111111112,7.919548456213515e-06,1.0
73,0.04875041229145912,0.9917534722222222,6.076053957825411e-06,1.0
74,0.05016393352586116,0.9930555555555556,4.47210666389034e-06,1.0
75,0.058057629671869414,0.9913194444444444,3.110376186386848e-06,1.0
76,0.031742019649552984,0.9930555555555556,1.9931289913066694e-06,1.0
77,0.033620411061242014,0.9939236111111112,1.1222246263458467e-06,1.0
78,0.040543205142360726,0.9917534722222222,4.991126258710176e-07,1.0
79,0.04348127208100373,0.9908854166666666,1.2483009831256717e-07,1.0
80,0.03680840557111272,0.9947916666666666,0.0,1.0
